x,y,yaw_deg
-3.3081479168780254e-05,8.662862023007835e-14,8.905553108097847e-13
0.25372958429397097,6.551117162725685e-14,5.648665114279206e-12
0.5037637404525703,9.052340534425219e-14,5.72499842663433e-12
0.7537845577431915,1.1570179281803077e-13,5.877665051344579e-12
1.0037974411464101,1.4125226891892468e-13,5.9285539262479955e-12
1.2538051381078092,1.6706722674797943e-13,5.953998363699704e-12
1.5038096469012727,1.9310508543635385e-13,6.00488723860312e-12
1.7538123787030178,2.1950270909755302e-13,6.13210942586166e-12
2.003814021385123,2.469557981158501e-13,6.284776050571909e-12
2.2538150129451227,2.7473600940259324e-13,6.462887112733866e-12
2.503815585529577,3.0286860647930114e-13,6.437442675282158e-12
2.753815903126594,3.312989965328609e-13,6.615553737444115e-12
3.0038160754834378,3.6029495075228553e-13,6.590109299992407e-12
3.253816159703109,4.210212960460915e-13,6.2338871756684926e-12
3.5087253494672614,-0.010154277319886966,-11.36388881434165
3.7354232493522637,-0.1289385001029336,-43.820191186118315
3.8627431870692046,-0.35097362883355826,-76.38551002116895
3.850923766230898,-0.6066570568606603,-108.81080032279698
3.7444932580813783,-0.8329953254922633,-116.1672377618781
3.629850568118312,-1.0663227014917684,-116.16724035478585
3.5152017419791908,-1.299660163183716,-116.16724135114158
3.378448448902195,-1.5187639816672807,-134.36451217513667
3.1586855606753947,-1.6484601623359707,-165.4768764547422
2.9012619618546704,-1.6601576278547887,178.0354102707351
2.651364216793888,-1.6515856339712578,178.0354102698053
2.401484437380644,-1.6430142565862913,178.03541026943134
2.1516156169870984,-1.6344432552652175,178.03541026930742
1.9017531396106655,-1.6258724716079322,178.035410269263
1.6477757017193313,-1.619684806688234,-177.88309842058027
1.406662362914951,-1.6972302909329522,-145.4579830709179
1.2460569542308675,-1.8959054626050937,-113.17758252394616
1.203672319355289,-2.147587196119593,-92.1600214357454
1.1942510286107937,-2.3974123268255636,-92.16002134795556
1.1848292265334244,-2.6472363843372833,-92.16002131480847
1.1754070900441818,-2.89705974103478,-92.16002130283022
1.1659847478362704,-3.1468826680536894,-92.1600212981726
1.156562291034665,-3.396705354961477,-92.16002129662151
1.1471397639958816,-3.6465278947051565,-92.1600212960603
1.137717195097385,-3.896350345352214,-92.16002129585776
1.128294599178196,-4.146172739386546,-92.16002129578403
1.1184950816251422,-4.405987994295202,-92.16002129603102
1.1086955546540156,-4.665803228081181,-92.16002129686969
1.0988960217932275,-4.925618448323862,-92.16002129704526
1.0890964851952127,-5.18543366055931,-92.1600212966569
1.079296946215058,-5.445248870579668,-92.16002129646913
1.0694974061268687,-5.705064076884078,-92.16002129631273
1.0596978652957414,-5.96487928163019,-92.16002129621455
1.0498983240789341,-6.224694484174502,-92.1600212961214
1.0400987825351904,-6.484509687425914,-92.16002129613597
1.0310483743329992,-6.738021370934172,-92.18166997407778
1.076715982589506,-6.992386417728305,-65.21594421479924
1.2405748938411751,-7.1898757201885655,-35.42122875849057
1.480901150341446,-7.27983555706309,-5.626386484643983
1.73727568156487,-7.273800062179415,2.487617952468334
1.9870422035348383,-7.262948434175185,2.4876180133509957
2.2368078355577805,-7.252097117539538,2.4876180359041813
2.486572968448423,-7.241245975348912,2.4876180440460707
2.736337803234611,-7.230394936964207,2.4876180471171634
2.9861024439677553,-7.219543966416347,2.487618048225854
3.2358669666592217,-7.208693037530449,2.4876180486552544
3.4924685691626243,-7.177356698803929,18.412022101996115
3.7069176453998787,-7.036421358843285,48.20676890818555
3.8229786180211045,-6.807576208775345,78.00157046388902
3.809991214873432,-6.551311703814523,107.79645516337912
3.7133537589596735,-6.310825761101488,102.76811170050017
3.7228999270718415,-6.054388458068262,72.97322599409762
3.857341809844998,-5.83534844004925,48.30813598075758
3.9754073052443926,-5.60700542765323,77.19113306329696
3.9961584234807375,-5.348411750937142,87.42368390063537
4.0078454324727675,-5.088674605182793,87.42368390069294
4.019532441832584,-4.828937459400521,87.42368390069939
4.031219451287601,-4.569200316182791,87.4236839006684
4.042906460886247,-4.3094631729544615,87.42368390064901
4.054593470629064,-4.049726028429558,87.42368390067766
4.0662804804782295,-3.789988882610694,87.4236839007051
4.077967490295708,-3.5302517380799805,87.42368390072035
4.089654500071535,-3.27051459483843,87.42368390075194
4.101341509857873,-3.0107774515961783,87.42368390079297
4.113028519766432,-2.751040305772771,87.42368390083068
4.12471552962026,-2.491303161239334,87.42368390080564
4.136402539476347,-2.23156601670579,87.42368390082524
4.148089549275391,-1.971828873462512,87.42368390082193
4.159776559133125,-1.7120917289288717,87.42368390085338
4.171463568991232,-1.4523545843950165,87.42368390087994
4.183150578907731,-1.192617438571101,87.42368390090273
4.194837588708065,-0.9328802953277162,87.42368390087749
4.206524598566549,-0.6731431507940359,87.42368390088849
